acanthis_cabaret
acanthis_flammea
accipiter_francesiae
accipiter_gentilis
accipiter_haplochrous
accipiter_nisus
acridotheres_tristis
acrocephalus_arundinaceus
acrocephalus_atyphus
acrocephalus_caffer
acrocephalus_melanopogon
acrocephalus_mendanae
acrocephalus_paludicola
acrocephalus_palustris
acrocephalus_percernis
acrocephalus_rimitarae
acrocephalus_schoenobaenus
acrocephalus_scirpaceus
actitis_hypoleucos
aegithalos_caudatus
aegolius_funereus
aegypius_monachus
aerodramus_francicus
aerodramus_leucophaeus
aerodramus_ocistus
agapornis_roseicollis
aix_galericulata
alauda_arvensis
alcedo_atthis
alectoris_graeca
alectoris_rufa
allenia_fusca
alopochen_aegyptiaca
amazona_amazonica
anas_crecca
anas_platyrhynchos
anous_minutus
anous_stolidus
anser_albifrons
anser_anser
anser_cygnoides
anser_indicus
anthus_campestris
anthus_cervinus
anthus_godlewskii
anthus_hodgsoni
anthus_petrosus
anthus_pratensis
anthus_richardi
anthus_spinoletta
anthus_trivialis
aplonis_striata
aptenodytes_patagonicus
apus_apus
apus_pallidus
aquila_chrysaetos
aquila_fasciata
ardea_alba
ardea_cinerea
ardea_purpurea
ardenna_pacifica
ardeola_ralloides
arenaria_interpres
asio_flammeus
asio_otus
athene_noctua
aythya_collaris
aythya_ferina
aythya_fuligula
aythya_nyroca
balearica_regulorum
botaurus_stellaris
branta_bernicla
branta_canadensis
branta_leucopsis
bubo_bubo
bubulcus_ibis
burhinus_oedicnemus
buteo_buteo
buteo_rufinus
butorides_striata
cacatua_sulphurea
cacomantis_flabelliformis
calandrella_brachydactyla
calcarius_lapponicus
calidris_alba
calidris_alpina
calidris_canutus
calidris_falcinellus
calidris_ferruginea
calidris_fuscicollis
calidris_melanotos
calidris_minuta
calidris_pugnax
calidris_temminckii
callipepla_californica
calonectris_diomedea
caprimulgus_europaeus
carduelis_carduelis
carduelis_citrinella
carduelis_corsicana
carpodacus_erythrinus
cecropis_daurica
certhia_brachydactyla
certhia_familiaris
cettia_cetti
chalcophaps_longirostris
charadrius_alexandrinus
charadrius_dubius
charadrius_hiaticula
charadrius_morinellus
chionis_minor
chlidonias_hybrida
chlidonias_leucopterus
chlidonias_niger
chloris_chloris
chroicocephalus_genei
chroicocephalus_novaehollandiae
chroicocephalus_ridibundus
chrysococcyx_lucidus
ciconia_ciconia
cinclocerthia_ruficauda
cincloramphus_mariae
cinclus_cinclus
cinnyris_coquerellii
circaetus_gallicus
circus_aeruginosus
circus_cyaneus
circus_macrourus
circus_maillardi
circus_pygargus
cisticola_juncidis
clamator_glandarius
clytorhynchus_pachycephaloides
coccothraustes_coccothraustes
collocalia_uropygialis
coloeus_monedula
columba_livia
columba_oenas
columba_palumbus
contopus_latirostris
coracias_garrulus
coracina_caledonica
corvus_corax
corvus_cornix
corvus_corone
corvus_frugilegus
corvus_moneduloides
coturnix_coturnix
coturnix_japonica
crex_crex
cuculus_canorus
cyanistes_caeruleus
cyanoramphus_saisseti
cygnus_columbianus
cygnus_cygnus
cygnus_olor
delichon_urbicum
dendrocopos_leucotos
dendrocopos_major
dendrocoptes_medius
dendrocygna_autumnalis
dicrurus_waldenii
drepanoptila_holosericea
dryobates_minor
dryocopus_martius
ducula_galeata
ducula_goliath
edolisoma_anale
egretta_garzetta
elaenia_martinica
elanus_caeruleus
emberiza_calandra
emberiza_cia
emberiza_cirlus
emberiza_citrinella
emberiza_hortulana
emberiza_leucocephalos
emberiza_pusilla
emberiza_rustica
emberiza_schoeniclus
eremophila_alpestris
erithacus_rubecula
erythrura_psittacea
estrilda_astrild
eudyptes_chrysocome
eudyptes_chrysolophus
eunymphicus_cornutus
eunymphicus_uvaeensis
euodice_malabarica
falco_columbarius
falco_naumanni
falco_peregrinus
falco_subbuteo
falco_tinnunculus
falco_vespertinus
ficedula_albicollis
ficedula_hypoleuca
ficedula_parva
foudia_madagascariensis
fringilla_coelebs
fringilla_montifringilla
fulica_atra
fulmarus_glacialis
galerida_cristata
galerida_theklae
gallinago_gallinago
gallinula_chloropus
garrulus_glandarius
gavia_immer
gelochelidon_nilotica
geopelia_striata
gerygone_flavolateralis
glareola_nordmanni
glareola_pratincola
glaucidium_passerinum
glycifohia_undulata
grus_grus
gygis_alba
gymnomyza_aubryana
gypaetus_barbatus
gyps_fulvus
haematopus_ostralegus
haliaeetus_albicilla
hieraaetus_pennatus
himantopus_himantopus
hippolais_icterina
hippolais_polyglotta
hirundo_rustica
hirundo_tahitica
hydrocoloeus_minutus
hydroprogne_caspia
hypsipetes_borbonicus
hypsipetes_madagascariensis
ichthyaetus_audouinii
ichthyaetus_melanocephalus
icterus_bonana
ixobrychus_minutus
jynx_torquilla
lagopus_muta
lalage_leucopyga
lalage_newtoni
lanius_collurio
lanius_excubitor
lanius_meridionalis
lanius_minor
lanius_senator
larus_argentatus
larus_cachinnans
larus_canus
larus_delawarensis
larus_dominicanus
larus_fuscus
larus_marinus
larus_michahellis
leiothrix_lutea
lichmera_incana
limosa_lapponica
limosa_limosa
linaria_cannabina
linaria_flavirostris
locustella_fluviatilis
locustella_luscinioides
locustella_naevia
lophophanes_cristatus
loxia_curvirostra
loxia_pytyopsittacus
lullula_arborea
luscinia_megarhynchos
luscinia_svecica
lymnocryptes_minimus
lyrurus_tetrix
mareca_penelope
mareca_strepera
margarops_fuscatus
melanerpes_herminieri
melanitta_nigra
melanocorypha_calandra
mergellus_albellus
merops_apiaster
microeca_flaviventris
milvus_migrans
milvus_milvus
monticola_saxatilis
monticola_solitarius
montifringilla_nivalis
morus_bassanus
motacilla_alba
motacilla_cinerea
motacilla_flava
motacilla_tschutschensis
muscicapa_striata
muscicapa_tyrrhenica
myadestes_genibarbis
myiagra_caledonica
myiopsitta_monachus
mystery_mystery
myzomela_caledonica
myzomela_cardinalis
nemobius_sylvestris
neophron_percnopterus
nesoenas_picturatus
netta_rufina
nucifraga_caryocatactes
numenius_arquata
numenius_phaeopus
numenius_tahitiensis
nycticorax_nycticorax
nymphicus_hollandicus
oecanthus_pellucens
oenanthe_deserti
oenanthe_hispanica
oenanthe_isabellina
oenanthe_oenanthe
oenanthe_pleschanka
oriolus_oriolus
otus_mayottensis
otus_scops
oxyura_jamaicensis
pachycephala_caledonica
pachycephala_chlorura
pachycephala_rufiventris
pandion_haliaetus
panurus_biarmicus
parus_major
passer_domesticus
passer_hispaniolensis
passer_italiae
passer_montanus
pastor_roseus
pelecanus_occidentalis
perdix_perdix
periparus_ater
pernis_apivorus
petronia_petronia
phaethon_lepturus
phalacrocorax_aristotelis
phalacrocorax_carbo
phalaropus_fulicarius
phasianus_colchicus
phedina_borbonica
philemon_diemenensis
phoebetria_palpebrata
phoeniconaias_minor
phoenicopterus_roseus
phoenicurus_ochruros
phoenicurus_phoenicurus
phylloscopus_bonelli
phylloscopus_collybita
phylloscopus_fuscatus
phylloscopus_humei
phylloscopus_ibericus
phylloscopus_inornatus
phylloscopus_orientalis
phylloscopus_proregulus
phylloscopus_sibilatrix
phylloscopus_trochilus
pica_pica
picoides_tridactylus
picus_canus
picus_sharpei
picus_viridis
platalea_leucorodia
plectrophenax_nivalis
plegadis_falcinellus
ploceus_cucullatus
pluvialis_apricaria
pluvialis_fulva
pluvialis_squatarola
podiceps_cristatus
podiceps_grisegena
podiceps_nigricollis
poecile_montanus
poecile_palustris
pomarea_iphis
pomarea_mendozae
pomarea_nigra
pomarea_whitneyi
porphyrio_porphyrio
porzana_parva
porzana_porzana
porzana_pusilla
prosobonia_parvirostris
prunella_collaris
prunella_modularis
pseudobulweria_rostrata
psittacula_krameri
psittacus_erithacus
pterocles_alchata
pterodroma_baraui
pterodroma_neglecta
pterodroma_nigripennis
ptilinopus_coralensis
ptilinopus_dupetithouarsii
ptilinopus_greyi
ptilinopus_huttoni
ptilinopus_purpuratus
ptyonoprogne_rupestris
puffinus_bailloni
puffinus_yelkouan
pycnonotus_jocosus
pyrrhocorax_graculus
pyrrhocorax_pyrrhocorax
pyrrhula_pyrrhula
quelea_quelea
quiscalus_lugubris
rallus_aquaticus
ramphocinclus_brachyurus
recurvirostra_avosetta
regulus_ignicapilla
regulus_regulus
remiz_pendulinus
rhipidura_albiscapa
rhipidura_verreauxi
rhynochetos_jubatus
riparia_riparia
rissa_tridactyla
saltator_albicollis
saxicola_rubetra
saxicola_rubicola
saxicola_tectes
saxicola_torquatus
scolopax_rusticola
serinus_canaria
serinus_serinus
setophaga_aestiva
sitta_europaea
sitta_whiteheadi
somateria_mollissima
sonus_naturalis
spatula_clypeata
spatula_querquedula
spinus_spinus
stercorarius_antarcticus
sterna_hirundo
sternula_albifrons
sternula_nereis
streptopelia_decaocto
streptopelia_roseogrisea
streptopelia_turtur
strix_aluco
sturnus_unicolor
sturnus_vulgaris
sula_dactylatra
sula_sula
sylvia_atricapilla
sylvia_borin
sylvia_cantillans
sylvia_communis
sylvia_conspicillata
sylvia_curruca
sylvia_hortensis
sylvia_melanocephala
sylvia_ruppeli
sylvia_sarda
sylvia_subalpina
sylvia_undata
syrmaticus_reevesii
tachybaptus_ruficollis
tachymarptis_melba
tadorna_ferruginea
tadorna_tadorna
taeniopygia_guttata
terpsiphone_bourbonnensis
tetrao_urogallus
tetrastes_bonasia
tetrax_tetrax
tettigonia_viridissima
thalasseus_sandvicensis
tichodroma_muraria
todiramphus_godeffroyi
todiramphus_sanctus
todiramphus_tutus
todiramphus_veneratus
trichoglossus_haematodus
tringa_erythropus
tringa_flavipes
tringa_glareola
tringa_incana
tringa_nebularia
tringa_ochropus
tringa_stagnatilis
tringa_totanus
troglodytes_troglodytes
turdus_iliacus
turdus_lherminieri
turdus_merula
turdus_philomelos
turdus_pilaris
turdus_torquatus
turdus_viscivorus
tyto_alba
upupa_epops
vanellus_gregarius
vanellus_vanellus
vini_kuhlii
vini_peruviana
vini_ultramarina
vireo_olivaceus
zosterops_borbonicus
zosterops_inornatus
zosterops_mayottensis
zosterops_minutus
zosterops_olivaceus
zosterops_xanthochroa
